 ,Area,X,Y,XM,YM,IntDen,%Area,RawIntDen
1,158.495,3937.009,11.447,3937.009,11.447,40416.314,100,5355
2,37.737,4164.560,7.418,4164.560,7.418,9622.932,100,1275
3,173.590,4510.571,10.690,4510.571,10.690,44265.487,100,5865
4,37.737,6112.363,6.319,6112.363,6.319,9622.932,100,1275
5,150.948,6190.659,10.165,6190.659,10.165,38491.728,100,5100
6,528.318,6379.003,25.275,6379.003,25.275,134721.048,100,17850
7,90.569,3473.214,14.652,3473.214,14.652,23095.037,100,3060
8,3886.910,4748.637,63.024,4748.637,63.024,991161.997,100,131325
9,15.095,6234.890,10.989,6234.890,10.989,3849.173,100,510
10,45.284,6293.040,11.905,6293.040,11.905,11547.518,100,1530
11,37.737,1931.593,15.659,1931.593,15.659,9622.932,100,1275
12,45.284,1954.212,15.568,1954.212,15.568,11547.518,100,1530
13,22.642,2425.366,14.194,2425.366,14.194,5773.759,100,765
14,60.379,2518.201,15.453,2518.201,15.453,15396.691,100,2040
15,52.832,3459.380,15.110,3459.380,15.110,13472.105,100,1785
16,15.095,4840.659,12.363,4840.659,12.363,3849.173,100,510
17,30.190,2543.956,16.484,2543.956,16.484,7698.346,100,1020
18,249.064,4820.221,23.185,4820.221,23.185,63511.351,100,8415
19,60.379,4998.283,17.514,4998.283,17.514,15396.691,100,2040
20,52.832,4149.725,19.819,4149.725,19.819,13472.105,100,1785
21,98.116,5020.604,24.197,5020.604,24.197,25019.623,100,3315
22,249.064,5840.784,29.346,5840.784,29.346,63511.351,100,8415
23,256.612,6098.820,27.473,6098.820,27.473,65435.938,100,8670
24,618.887,65.029,43.420,65.029,43.420,157816.085,100,20910
25,384.917,2097.258,37.250,2097.258,37.250,98153.907,100,13005
26,60.379,4355.426,23.695,4355.426,23.695,15396.691,100,2040
27,30.190,4890.110,21.978,4890.110,21.978,7698.346,100,1020
28,52.832,6424.451,24.137,6424.451,24.137,13472.105,100,1785
29,15.095,2053.571,24.725,2053.571,24.725,3849.173,100,510
30,45.284,4966.117,25.641,4966.117,25.641,11547.518,100,1530
31,369.822,5119.618,34.565,5119.618,34.565,94304.734,100,12495
32,60.379,2159.341,28.846,2159.341,28.846,15396.691,100,2040
33,158.495,6323.325,32.771,6323.325,32.771,40416.314,100,5355
