x,y
3937.009,11.447
4164.56,7.418
4510.571,10.69
6112.363,6.319
6190.659,10.165
6379.003,25.275
3473.214,14.652
4748.637,63.024
6234.89,10.989
6293.04,11.905
1931.593,15.659
1954.212,15.568
2425.366,14.194
2518.201,15.453
3459.38,15.11
4840.659,12.363
2543.956,16.484
4820.221,23.185
4998.283,17.514
4149.725,19.819
5020.604,24.197
5840.784,29.346
6098.82,27.473
65.029,43.42
2097.258,37.25
4355.426,23.695
4890.11,21.978
6424.451,24.137
2053.571,24.725
4966.117,25.641
5119.618,34.565
2159.341,28.846
6323.325,32.771
6345.085,30.678
2171.703,32.378
3517.17,35.371
3978.022,30.22
4103.022,32.378
4878.297,29.945
4991.758,28.846
1842.445,42.788
2084.135,34.684
2629.121,32.967
4311.355,34.799
4947.344,36.172
1696.429,37.088
2461.538,37.088
2641.941,37.546
3962.437,41.42
4280.22,34.341
6076.923,35.714
3541.209,38.462
4782.967,38.462
4832.418,38.462
4985.989,39.286
2049.451,39.835
4493.756,50.574
2056.319,43.956
2077.076,47.466
2622.802,44.231
4384.615,46.703
6293.04,45.101
6364.011,46.115
2116.758,46.703
2468.864,47.619
4024.942,56.752
4355.769,47.292
4841.248,48.077
6082.418,48.077
6424.212,52.377
2428.571,49.451
4995.474,71.271
6397.894,53.022
3986.264,52.198
4971.703,52.473
2041.833,61.563
2066.277,63.874
2165.424,59.066
4157.509,59.524
4344.551,61.584
5997.057,62.86
2078.846,60.165
3649.725,61.813
3973.214,61.813
4469.78,60.44
1942.308,67.308
2000.916,67.766
2603.022,68.093
4490.385,68.681
4853.022,65.934
6371.566,69.918
2230.495,69.505
4812.363,72.985
4872.405,72.192
2022.34,76.995
2172.047,73.146
4144.869,81.535
4825.549,70.055
6273.352,73.587
56.319,75.549
2096.242,84.323
2136.447,75.092
5758.297,87.802
6238.973,99.206
6395.833,76.465
6428.768,77.512
2519.689,76.465
2950.549,76.923
3440.934,77.512
4195.055,76.923
1902.723,96.781
3018.25,82.81
3478.938,80.586
2225,91.117
4854.396,87.054
2496.664,86.538
4651.099,83.791
6252.747,83.791
56.548,100.198
2074.903,94.295
2429.487,94.17
3695.055,87.912
3923.535,87.454
4630.495,86.538
4684.066,92.033
6626.805,93.21
1810.582,98.759
2324.176,90.659
4834.89,92.582
6367.543,92.033
3985.989,95.33
4254.906,94.78
5009.432,96.429
6388.139,96.452
46.703,98.901
2263.462,98.077
3416.758,98.901
4071.429,94.78
4628.434,98.558
4759.615,97.527
4772.894,97.985
6276.452,110.597
2343.407,98.901
2803.571,101.06
4265.568,99.817
4808.743,102.941
6557.692,98.901
3825.092,103.48
4080.128,102.106
4132.185,104.079
1535.714,104.396
4862.659,129.085
1762.363,108.516
4609.001,111.425
4681.319,108.516
4755.952,108.211
4766.026,106.685
5501.596,114.828
6540.293,108.059
1657.967,111.264
1938.645,110.806
3421.016,112.294
4666.209,111.264
4942.308,111.264
5028.388,111.722
5836.538,111.264
4039.835,111.264
4056.319,111.264
4097.222,114.927
1997.115,120.192
2260.4,116.758
2432.234,116.3
4114.011,115.385
1523.891,127.257
4751.057,125.634
5857.143,119.505
6628.258,127.236
1707.074,121.909
1744.309,124.215
2442.308,120.879
3416.021,136.801
3980.495,121.703
4061.813,120.879
4201.923,120.879
4308.608,121.795
4682.692,119.505
4928.888,125.423
6362.834,127.551
48.352,126.648
1854.396,125
5771.978,123.626
1549.274,133.524
2434.303,136.842
3799.725,127.198
6379.121,126.374
643.462,139.835
834.135,130.838
848.901,130.495
1934.341,131.044
3367.857,131.044
578.689,135.793
613.636,138.487
1696.352,136.523
2120.604,132.692
3982.448,137.21
4188.874,133.242
4214.286,133.242
4289.835,131.868
752.293,144.844
857.143,141.484
2024.508,139.893
2601.374,135.44
4777.473,133.242
5483.516,137.363
42.582,139.286
546.703,138.736
627.747,140.934
663.324,141.346
1060.745,140.873
5073.489,140.797
5856.971,144.66
6405.22,147.758
879.121,141.484
902.518,147.207
1577.512,144.885
1675.824,140.11
1989.313,155.22
3268.956,142.033
4621.795,141.026
5085.3,153.44
6282.967,141.484
820.055,144.231
972.527,142.857
987.215,145.287
1025.275,146.429
1044.986,144.574
3348.901,142.857
4109.89,141.484
4275.641,143.773
4728.709,144.918
6065.617,145.287
57.767,163.511
216.117,146.52
248.626,144.231
585.165,146.978
1088.942,147.321
1104.739,146.635
1494.231,146.429
1716.018,154.384
1840.659,146.978
2457.84,148.669
4070.055,145.604
5126.04,156.89
6111.264,147.763
2512.363,151.099
3521.978,151.099
4988.187,148.626
5807.266,161.141
6621.81,153.979
125,151.099
285.419,195.6
1591.822,155.642
1625.916,152.778
3573.146,152.816
4153.846,151.099
5827.686,162.012
244.62,158.654
390.11,153.846
1006.868,156.005
1934.982,155.678
2377.997,156.219
3409.341,155.22
3901.099,155.22
4773.352,159.341
5000,152.473
6026.213,170.635
6308.516,155.769
6440.149,155.22
6654.936,158.535
313.416,158.425
387.782,191.405
717.033,156.593
1568.681,156.593
1637.363,157.967
4130.495,158.752
4810.44,157.967
5473.116,157.967
5650.183,158.425
181.731,172.115
846.841,160.714
983.791,160.165
1081.044,157.967
1129.121,160.714
2504.121,161.499
4852.679,161.058
5390.11,166.209
5788.462,159.341
6271.027,160.926
500,163.462
731.074,168.04
4348.901,163.462
6233.516,163.462
460.623,166.667
696.886,166.667
785.126,166.209
1180.195,176.324
1358.162,174.539
1921.354,177.348
1946.64,166.843
2436.355,166.667
4722.092,175.992
1076.923,168.956
1137.637,169.505
1402.473,167.582
2386.423,171.848
2609.89,168.956
3400.724,170.205
4109.615,168.407
