 ,Area,X,Y,XM,YM,IntDen,%Area,RawIntDen
1,59.657,4427.938,9.326,4427.713,9.046,2708.449,100.000,227
2,143.178,4862.937,8.348,4863.123,8.185,5667.459,100.000,475
3,107.383,5439.404,6.716,5439.147,6.359,5249.857,100.000,440
4,47.726,5568.169,6.908,5568.123,7.093,1789.724,100.000,150
5,47.726,5892.864,6.908,5892.689,7.025,2123.806,100.000,178
6,465.328,4399.366,16.784,4398.497,16.637,24662.395,97.436,2067
7,59.657,4787.866,11.399,4787.655,11.166,2899.353,100.000,243
8,35.794,5089.763,8.635,5090.183,8.635,1372.122,100.000,115
9,59.657,5153.320,12.781,5153.233,13.017,2577.202,100.000,216
10,381.808,5409.384,19.214,5409.509,19.703,17431.910,96.875,1461
11,83.520,5512.162,10.609,5511.976,10.763,3603.311,100.000,302
12,47.726,4290.115,13.817,4289.931,13.370,2350.504,100.000,197
13,274.424,4361.377,19.599,4361.378,19.575,17634.746,100.000,1478
14,83.520,4671.804,15.544,4671.777,15.297,3006.736,100.000,252
15,59.657,4762.304,13.471,4762.144,13.552,2255.052,100.000,189
16,11.931,4944.686,12.090,4944.686,12.090,417.602,100.000,35
17,131.246,5270.637,18.998,5270.721,18.855,5750.979,100.000,482
18,71.589,5453.029,14.968,5452.868,15.167,3281.160,100.000,275
19,47.726,5621.709,14.680,5621.734,14.790,1694.272,100.000,142
20,131.246,6062.905,20.568,6062.526,20.548,6645.841,100.000,557
21,131.246,6080.490,18.684,6080.263,18.679,6848.677,100.000,574
22,703.958,4304.664,29.185,4303.931,29.761,37858.625,100.000,3173
23,59.657,4343.656,18.998,4343.606,18.866,2493.682,100.000,209
24,47.726,4714.118,18.998,4713.990,18.887,1849.381,100.000,155
25,23.863,4884.238,15.544,4884.387,15.544,966.451,100.000,81
26,298.287,5144.753,28.532,5145.223,29.114,12361.026,100.000,1036
27,35.794,5194.540,16.695,5194.540,16.486,1181.218,100.000,99
28,47.726,5286.652,18.135,5286.806,18.502,2410.161,100.000,202
